Archon Burger,3,Butterbeef,Potent Spice,Dark Rye Flour,Dark Rye Flour,Ovibos Milk,Iceberg Lettuce,Alien Onion,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Beef Stroganoff,3,Butterbeef,Potent Spice,Perilla Oil,Ovibos Milk,Giant Popoto,Iceberg Lettuce,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Calamari Ripieni,3,Thavnairian Calamari,Perilla Oil,Perilla Oil,Garlean Cheese,Alien Onion,Blood Tomato,Moonlight Aethersand,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Kalamarakia Tiganita,3,Thavnairian Calamari,Perilla Oil,Dark Rye Flour,Dark Rye Flour,Curly Parsley,Lemonette,Moonlight Aethersand,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Peach Juice,3,White Peach,Potent Spice,Palm Sugar,Palm Sugar,Sykon,Eblan Lentils,Peppermint,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
# Peach Tart,3,White Peach,Potent Spice,Dark Rye Flour,Dark Rye Flour,???,Ovibos Milk,Ambrosial Water,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Pumpkin Potage,3,Giant Pumpkin,Potent Spice,Northern Sea Salt,Northern Sea Salt,Ovibos Milk,Alien Onion,Ambrosial Water,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Pumpkin Ratatouille,3,Giant Pumpkin,Potent Spice,Perilla Oil,Perilla Oil,Cucumber,Blood Tomato,Garlean Garlic,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Scallop Curry,3,Glass Scallop,Potent Spice,Coconut Milk,Coconut Milk,Elder Nutmeg Seeds,Ambrosial Water,Bomba Rice,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Scallop Salad,3,Glass Scallop,Potent Spice,Perilla Oil,Perilla Oil,Iceberg Lettuce,Alien Onion,Thavnairian Paprika,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
# Sykon Cookie,3,Subtle Cinnamon Sticks,Potent Spice,Dark Rye Flour,Dark Rye Flour,Sykon,???,Ovibos Milk,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
Thavnairian Chai,3,Subtle Cinnamon Sticks,Potent Spice,Palm Sugar,Palm Sugar,Sideritis Leaves,Ovibos Milk,Peppermint,Fire Cluster,Fire Cluster,Fire Cluster,Water Cluster,Water Cluster,Water Cluster
